price|quantity|type|level
4786000|4.3348|1|5
4787000|19.7997|1|5
4788000|65.6736|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4791000|5.9862|1|5
4776000|1.2374|0|5
4775000|1.7731|0|5
4774000|13.2693|0|5
4773000|21.0751|0|5
4772000|10.5757|0|5
4771000|1.4378|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4768000|5.3895|0|5
4767000|0.02|0|5
4780000|0.005|1|5
4782000|4.1922|1|5
4783000|0.002|1|5
4784000|21.7312|1|5
4785000|3.0034|1|5
4786000|4.3348|1|5
4787000|19.7997|1|5
4788000|66.8692|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4776000|4.8274|0|5
4775000|3.8625|0|5
4774000|7.5899|0|5
4773000|21.0751|0|5
4772000|10.5757|0|5
4771000|6.8078|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4768000|0.0195|0|5
4767000|0.02|0|5
4780000|3.605|1|5
4782000|4.1822|1|5
4783000|0.002|1|5
4784000|21.7312|1|5
4785000|3.0034|1|5
4786000|4.7841|1|5
4787000|20.3919|1|5
4788000|62.0836|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4776000|4.8274|0|5
4775000|1.7731|0|5
4774000|9.6793|0|5
4773000|21.0751|0|5
4772000|10.5757|0|5
4771000|6.8078|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4768000|0.0195|0|5
4767000|0.02|0|5
4780000|3.605|1|5
4782000|4.1822|1|5
4783000|0.002|1|5
4784000|21.629|1|5
4785000|3.0034|1|5
4786000|4.7841|1|5
4787000|20.9954|1|5
4788000|62.0836|1|5
4789000|0.3342|1|5
4790000|0.8705|1|5
4779000|0.2|0|5
4778000|0.2|0|5
4776000|4.8274|0|5
4775000|1.7731|0|5
4774000|7.5899|0|5
4773000|21.4079|0|5
4772000|10.2425|0|5
4771000|6.8078|0|5
4770000|0.0035|0|5
4769000|0.4387|0|5
4780000|3.605|1|5
4782000|4.2844|1|5
4783000|0.002|1|5
